model,MAE,RMSE,R2,Tail_MAE,NonTail_MAE,P90_AbsErr
00  struct_only (anchor),6.10697603225708,10.614848136901855,0.26876366994820955,22.183181762695312,4.320045471191406,12.544890403747559
01  single_expert_gated,6.036797523498535,10.53153133392334,0.2801976794883577,21.812847137451172,4.283230781555176,12.535699844360352
02  moe_no_specialisation,6.004480838775635,10.526641845703125,0.280865932711716,21.534915924072266,4.278214931488037,12.66209602355957
03  moe_expert_A_only,5.815260410308838,11.078666687011719,0.20346439957167994,24.842134475708008,3.700352430343628,13.089278221130371
04  moe_expert_B_only,19.27618408203125,20.831735610961914,-1.816314251840581,12.488632202148438,20.03064727783203,26.677810668945312
05  moe_random_gate,11.354209899902344,14.419629096984863,-0.34939263968166334,16.69776725769043,10.76025390625,20.68852138519287
06  moe_soft_gate_only,10.098073959350586,12.796704292297363,-0.06273874949152125,16.381990432739258,9.399593353271484,16.47369384765625
07  moe_tail_clf_only,6.035682678222656,10.62205982208252,0.2677695993422722,21.01380157470703,4.3708086013793945,13.284886837005615
08  moe_hard_gate,5.819920063018799,10.885046005249023,0.23106301322495781,23.323854446411133,3.8742918968200684,13.254356384277344
09a moe_soft_combined,5.840749263763428,10.67294692993164,0.2607371470919636,22.55975341796875,3.9823691844940186,12.901875972747803
09b moe_tail_clf_gate [OURS],6.035682678222656,10.62205982208252,0.2677695993422722,21.01380157470703,4.3708086013793945,13.284886837005615
10  moe_oracle_gate [UB],4.579483509063721,7.991552829742432,0.5855305398362363,12.488632202148438,3.700352430343628,9.704177856445312
